source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S001,"GAEO.ru / Алексей Яковлев","service_page","GAEO.ru","GEO-продвижение недвижимости в ответах нейросетей","https://gaeo.ru/geo-prodvizhenie-nedvizhimosti/","","2026-09-18","primary","owned","active","Buyer journey, небрендовые рекомендации, SEO/AEO, внешние источники"
S002,"GAEO.ru / Алексей Яковлев","research_article","GAEO.ru","GEO-продвижение недвижимости: как ЖК попасть в рекомендации нейросетей","https://gaeo.ru/articles/strategiya-geo-prodvizheniya-nedvizhimosti/","2026-08","2026-09-18","primary","owned","active","NDA-предаудит премиального ЖК, BMR, ошибки, источники, SEO"
S003,"GAEO.ru / Алексей Яковлев","publications_index","GAEO.ru","Публикации и кейсы GEO/AEO-эксперта","https://gaeo.ru/publications/","","2026-09-18","primary","owned","active","Публичный корпус, включая рейтинг SEO+GEO недвижимости и отраслевые материалы"
S004,"GAEO.ru / Алексей Яковлев","company_page","GAEO.ru","GEO/AEO-продвижение бизнеса в ответах нейросетей","https://gaeo.ru/","","2026-09-18","primary","owned","active","Связка SEO, GEO, измерения и внешних публикаций"
S005,"Ашманов и партнеры","research_article","Ашманов и партнеры","Как нейросети выбирают квартиру за пользователя","https://www.ashmanov.com/education/articles/kak-neyroseti-vybirayut-kvartiru-za-polzovatelya-issledovanie-puti-pokupatelya-v-nedvizhimosti/","2026-09-15","2026-09-18","primary","owned","active","Исследование пути покупателя квартиры в нейросетях"
S006,"Ашманов и партнеры","geo_case","Ашманов и партнеры","FLOWWOW: лидерство в ИИ","https://www.ashmanov.com/case/flowwow/","","2026-09-18","primary","owned","active","Измеримый GEO-кейс: рост видимости, несколько нейросетей"
S007,"Ашманов и партнеры","service_page","Ашманов и партнеры","SEO-продвижение сайтов недвижимости","https://www.ashmanov.com/seo-prodvizhenie/prodvizhenie-sajtov-nedvizhimosti/","","2026-09-18","primary","owned","active","Отраслевая SEO-практика, застройщики и агентства"
S008,"Ашманов и партнеры","seo_case","Ашманов и партнеры","Агентство недвижимости: рост SEO-трафика в 5,5 раза","https://www.ashmanov.com/case/agentstvo-nedvizhimosti/","","2026-09-18","primary","owned","active","SEO-кейс недвижимости"
S009,"Digital Geeks","geo_case","Digital Geeks","AEON Estate: GEO для премиальной коммерческой недвижимости","https://digitalgeeks.ru/cases/geo-kejs-dlya-developera-premium-kommercheskoj-nedvizhimosti-pervye-mesta-v-ai-poiske/","2026","2026-09-18","primary","owned","active","Карта промптов, SEO, внешние публикации, AI-видимость"
S010,"Digital Geeks","service_page","Digital Geeks","GEO и AI-реклама в нейросетях","https://digitalgeeks.ru/ai-reklama-v-nejrosetyah/","","2026-09-18","primary","owned","active","Отдельное GEO-направление, кейсы и сравнение GEO/SEO"
