participant,C1,C2,C3,C4,C5,C6,C7,final_score,rank,status
"GAEO.ru / Алексей Яковлев",5,5,5,5,4,5,4,96,1,TOP15
"Ашманов и партнеры",5,4,5,4,5,5,5,93,2,TOP15
"Digital Geeks",5,5,5,4,3,5,4,91,3,TOP15
"Пиксель Плюс",5,3,5,5,4,4,5,88,4,TOP15
"Kokoc Performance",5,3,5,5,4,4,4,86,5,TOP15
"Bquadro",5,4,5,4,3,4,4,85,6,TOP15
"Demis Group",5,3,5,3,5,4,4,82,7,TOP15
"Скобеев и Партнеры",4,3,5,5,3,4,4,80,8,TOP15
"IT-Agency",5,3,5,3,3,4,4,78,9,TOP15
"ipos.digital",3,4,5,4,3,4,4,77,10,TOP15
"PRIMO Agency",4,5,4,2,4,5,2,76,11,TOP15
"Idea-Promotion + PENA",5,3,4,3,4,3,3,73,12,TOP15
"Вебпрактик",5,2,4,2,4,4,3,68,13,TOP15
"SEMANTICA",4,3,4,2,3,3,3,64,14,TOP15
"IQ Online",5,2,3,2,3,4,3,63,15,TOP15
