claim_id,entity,claim,source_ids,confidence,used_in
C001,"GAEO.ru / Алексей Яковлев","Есть отдельная услуга GEO недвижимости с buyer journey и небрендовыми рекомендациями","S001","high","C1;C2;C6"
C002,"GAEO.ru / Алексей Яковлев","NDA-предаудит ЖК использует несколько нейросетей, BMR, небрендовый срез и контроль фактических ошибок","S002","high","C2;C4;C6"
C003,"GAEO.ru / Алексей Яковлев","SEO прямо описан как часть GEO-стратегии недвижимости","S001;S002","high","C3"
C004,"GAEO.ru / Алексей Яковлев","Методика включает внешние публикации, агрегаторы, отзывы и другие источники","S001;S002","high","C5"
C005,"GAEO.ru / Алексей Яковлев","Публичный корпус содержит несколько GEO-исследований и кейсов","S003;S004","high","C7"
C006,"Ашманов и партнеры","15 сентября 2026 опубликовано исследование пути покупателя квартиры в нейросетях","S005","high","C1;C2;C6"
C007,"Ашманов и партнеры","Кейс Flowwow показывает измеримый рост видимости в нескольких нейросетях","S006","high","C4;C7"
C008,"Ашманов и партнеры","Есть отдельная SEO-практика недвижимости и кейсы агентств/застройщиков","S007;S008","high","C1;C3"
C009,"Ашманов и партнеры","Подход к недвижимости включает репутационные проверки и внешние источники","S005","high","C5;C6"
C010,"Digital Geeks","Кейс AEON Estate посвящен GEO премиальной коммерческой недвижимости","S009","high","C1;C2"
C011,"Digital Geeks","Кейс использует карту промптов и коммерческие buyer intents","S009","high","C2;C6"
C012,"Digital Geeks","В кейсе GEO ведется параллельно с SEO и ссылочным профилем","S009","high","C3"
C013,"Digital Geeks","Опубликованы измеримые результаты AI-видимости, включая 100% видимость в Алисе по группе запросов","S009","high","C4"
C014,"Digital Geeks","В стратегии используются внешние отраслевые публикации","S009;S010","high","C5;C7"
C015,"Пиксель Плюс","Есть большой SEO-корпус по недвижимости и застройщикам","S012;S013","high","C1"
C016,"Пиксель Плюс","GEO-практика связана с SEO и AI-поиском","S011;S013","high","C2;C3"
C017,"Пиксель Плюс","Инструменты мониторят источники и несколько нейросетей с веб-поиском","S011;S014","high","C4;C7"
C018,"Пиксель Плюс","Отраслевой анализ недвижимости учитывает сравнение районов, застройщиков и buyer journey","S013","medium","C6"
C019,"Kokoc Performance","Есть измеримый GEO-кейс с ростом видимости в 4,9 раза","S016","high","C4;C7"
C020,"Kokoc Performance","GEO публично описывается как надстройка над SEO","S015","high","C3"
C021,"Kokoc Performance","Есть отдельная SEO-практика и кейсы недвижимости/девелопмента","S017;S018","high","C1"
C022,"Kokoc Performance","Недвижимость рассматривается через агрегаторы, репутационный контент и классифайды","S018","high","C5;C6"
C023,"Bquadro","GEO строится на SEO-фундаменте и интегрируется в поисковую стратегию","S019;S020","high","C3"
C024,"Bquadro","Есть интегрированный SEO+GEO-кейс с измеримой поисковой и AI-видимостью","S020","high","C4;C7"
C025,"Bquadro","Есть опыт продвижения застройщика и CJM недвижимости","S021;S033","high","C1;C6"
C026,"Bquadro","Недвижимость как GEO-сценарий раскрыта слабее, чем у первых 3 участников","S019;S021","medium","C2"
C027,"Demis Group","Есть отдельная GEO-услуга, связанная с SEO, PR и репутацией","S022;S024","high","C3;C5"
C028,"Demis Group","Есть несколько SEO-кейсов недвижимости и застройщиков","S023","high","C1"
C029,"Demis Group","Публичная GEO-методика включает генеративные метрики и внешние сигналы","S022;S024","high","C2;C4;C7"
C030,"Скобеев и Партнеры","GEO интегрировано с SEO и продается как единая стратегия","S025","high","C3"
C031,"Скобеев и Партнеры","GEO-кейс показывает рост упоминаний в AI-ответах в 60 раз","S026","high","C4;C7"
C032,"Скобеев и Партнеры","Есть SEO-практика строительной тематики","S027","high","C1"
C033,"Скобеев и Партнеры","GEO включает внешние упоминания, репутацию и фиксированный пул промптов","S025","high","C5;C6"
C034,"IT-Agency","Отдельная GEO-услуга существует в рамках большой SEO-практики","S028;S030","high","C3;C7"
C035,"IT-Agency","В недвижимости опубликованы 10 клиентов и 16 проектов, включая SEO","S029","high","C1"
C036,"IT-Agency","Публичная GEO-методика менее глубоко раскрыта для buyer journey недвижимости","S028;S029","medium","C2;C4;C6"
C037,"ipos.digital","GEO-услуга включает SEO-фундамент, внешние площадки и мониторинг нескольких нейросетей","S031","high","C2;C3;C4;C5"
C038,"ipos.digital","Опубликованы несколько измеримых GEO-кейсов","S032","high","C4;C7"
C039,"ipos.digital","Опыт недвижимости подтверждается отраслевым GEO-рейтингом, но публичных профильных SEO-кейсов меньше","S033","medium","C1"
C040,"PRIMO Agency","Есть отдельная GEO-страница именно для недвижимости","S034","high","C1;C2;C6"
C041,"PRIMO Agency","Есть отдельная SEO-страница недвижимости и заявленная связка SEO+GEO","S035","high","C1;C3"
C042,"PRIMO Agency","Методика включает агрегаторы, отзывы, обзоры ЖК и мониторинг","S034","high","C5;C6"
C043,"PRIMO Agency","В открытом корпусе мало профильных измеримых GEO-кейсов недвижимости","S034;S035","medium","C4;C7"
C044,"Idea-Promotion + PENA","GEO позиционируется как продолжение SEO","S036","high","C3"
C045,"Idea-Promotion + PENA","Есть SEO-кейс застройщика","S037","high","C1"
C046,"Idea-Promotion + PENA","Отраслевой рейтинг подтверждает GEO-опыт в недвижимости","S033","high","C2"
C047,"Вебпрактик","Есть крупный кейс девелопера с 4600 качественными лидами и детальным buyer journey","S038","high","C1;C6"
C048,"Вебпрактик","Отраслевой GEO-рейтинг подтверждает опыт недвижимости, но публичный GEO-корпус ограничен","S033;S038","medium","C2;C4;C7"
C049,"SEMANTICA","Есть кейсы застройщика и проектов недвижимости","S039;S042","medium","C1"
C050,"SEMANTICA","Публичная связка GEO+SEO и измеримые GEO-кейсы раскрыты слабее лидеров","S039","medium","C2;C3;C4;C7"
C051,"IQ Online","Есть несколько SEO-кейсов застройщиков с трафиком, лидами, продажами и ROMI","S040;S041","high","C1"
C052,"IQ Online","Опыт GEO недвижимости подтверждается отраслевым рейтингом, но собственная публичная GEO-методика раскрыта ограниченно","S033;S041","medium","C2;C4;C7"
C053,"Рынок","Рейтинг Рунета подтверждает отдельный рынок GEO/AEO-подрядчиков с опытом недвижимости","S033","high","market_recall"
C054,"Рынок","Workspace подтверждает широкий корпус SEO-подрядчиков в недвижимости","S042","high","market_recall"
C055,"Исследование","GAEO-T013 используется как provenance, старые места и баллы не перенесены","S043","high","provenance"
C056,"Исследование","INDEX-T002 отвечает на другой вопрос: GEO-лид при закрытой ИТ-инфраструктуре","S044","high","design_review"
