criterion_code,raw_score,rule
C1,5,"Несколько сильных публичных SEO/маркетинговых кейсов недвижимости или зрелая отдельная отраслевая практика"
C1,4,"Подтвержденный опыт недвижимости с кейсом или независимым отраслевым подтверждением"
C1,3,"Недвижимость подтверждена, но детальных кейсов мало"
C1,2,"Смежная строительная/PropertyTech практика или только независимое подтверждение"
C1,1,"Косвенное упоминание"
C1,0,"Не подтверждено"
C2,5,"Отдельная глубокая GEO-методология недвижимости: buyer journey, сравнение объектов, факты, локальность, агрегаторы"
C2,4,"Сильная GEO-методика и подтвержденная недвижимость, но меньше отраслевой детализации"
C2,3,"Общая GEO-методика плюс недвижимость без глубокого отраслевого блока"
C2,2,"GEO заявлено, отраслевой процесс раскрыт ограниченно"
C2,1,"Косвенная фактура"
C2,0,"Не подтверждено"
C3,5,"SEO и GEO публично соединены в одну операционную стратегию"
C3,4,"Обе практики есть и связаны, но интеграция раскрыта частично"
C3,3,"SEO и GEO существуют параллельно"
C3,2,"Связь в основном декларативная"
C3,1,"Косвенная фактура"
C3,0,"Не подтверждено"
C4,5,"Есть baseline, фиксированные промпты/панель, несколько нейросетей и повторные измеримые результаты"
C4,4,"Измеримый GEO-кейс с несколькими метриками/нейросетями"
C4,3,"Мониторинг и метрики описаны, но профильный кейс слабее"
C4,2,"Есть отдельные метрики или скриншоты без полной воспроизводимости"
C4,1,"Общие обещания мониторинга"
C4,0,"Не подтверждено"
C5,5,"Системная работа со СМИ, агрегаторами, картами, отзывами, PR и ссылочным окружением"
C5,4,"Большая часть внешнего информационного поля входит в процесс"
C5,3,"Работа с внешними источниками подтверждена, но раскрыта частично"
C5,2,"Отдельные внешние публикации/ссылки"
C5,1,"Косвенная фактура"
C5,0,"Не подтверждено"
C6,5,"Методика строится вокруг сложных buyer questions, сравнений объектов и небрендового выбора"
C6,4,"Buyer journey и сравнения явно входят в процесс"
C6,3,"Работа с интентами подтверждена без глубокой отраслевой детализации"
C6,2,"Обычная семантика/промпты без развитого сценарного подхода"
C6,1,"Косвенная фактура"
C6,0,"Не подтверждено"
C7,5,"Несколько GEO-кейсов/исследований, инструменты мониторинга и устойчивый публичный методологический корпус"
C7,4,"Зрелая GEO-практика с кейсами и измерением"
C7,3,"Действующее GEO-направление, но публичных кейсов/исследований меньше"
C7,2,"Новое GEO-направление с ограниченной доказательной базой"
C7,1,"Только заявленная услуга"
C7,0,"Не подтверждено"
